"state","with_kids","low_income","month","n_snap","month_num"
"Connecticut",0,0,"july",22509.8541097811,7
"Connecticut",0,0,"june",21740.2850609444,6
"Connecticut",0,0,"march",19655.3842754722,3
"Connecticut",0,0,"may",21744.69105124,5
"Connecticut",0,0,"november",14648.3313639667,11
"Connecticut",0,0,"october",14801.9226016567,10
"Connecticut",0,0,"september",19588.0076278125,9
"Connecticut",0,1,"april",40392.4310921078,4
"Connecticut",0,1,"august",41242.4363732533,8
"Connecticut",0,1,"december",27568.248492495,12
"Connecticut",0,1,"february",34263.2868085622,2
"Connecticut",0,1,"january",34468.8930674878,1
"Connecticut",0,1,"july",42365.8366947644,7
"Connecticut",0,1,"june",43624.8965794978,6
"Connecticut",0,1,"march",35770.6530020689,3
"Connecticut",0,1,"may",43302.4491871578,5
"Connecticut",0,1,"november",52149.0345447,11
"Connecticut",0,1,"october",39162.6322888033,10
"Connecticut",0,1,"september",43609.7161540175,9
"Connecticut",0,NA,"april",6118.86869137111,4
"Connecticut",0,NA,"august",7024.09760841625,8
"Connecticut",0,NA,"december",436.92797058,12
"Connecticut",0,NA,"february",4905.63696317556,2
"Connecticut",0,NA,"january",4264.33730379778,1
"Connecticut",0,NA,"july",5887.20681216625,7
"Connecticut",0,NA,"june",6506.0810761975,6
"Connecticut",0,NA,"march",5630.76893490667,3
"Connecticut",0,NA,"may",6314.60513711556,5
"Connecticut",0,NA,"november",3679.70121454667,11
"Connecticut",0,NA,"october",11391.521160054,10
"Connecticut",0,NA,"september",7895.55388576714,9
"Connecticut",1,0,"april",14864.3576553933,4
"Connecticut",1,0,"august",18966.41532448,8
"Connecticut",1,0,"december",12702.78961027,12
"Connecticut",1,0,"february",10093.9813848022,2
"Connecticut",1,0,"january",9457.28072983111,1
"Connecticut",1,0,"july",20291.9844298422,7
"Connecticut",1,0,"june",19387.1418385233,6
"Connecticut",1,0,"march",11215.5314634744,3
"Connecticut",1,0,"may",20478.5087914,5
"Connecticut",1,0,"november",13712.4454022433,11
"Connecticut",1,0,"october",18972.433589258,10
"Connecticut",1,0,"september",16986.9848089112,9
"Connecticut",1,1,"april",52367.9564669833,4
"Connecticut",1,1,"august",53550.3861050178,8
"Connecticut",1,1,"december",31403.429945515,12
"Connecticut",1,1,"february",42220.7381041033,2
"Connecticut",1,1,"january",42451.1517202933,1
"Connecticut",1,1,"july",51804.0079453944,7
"Connecticut",1,1,"june",54249.2343983411,6
"Connecticut",1,1,"march",44339.2800302211,3
"Connecticut",1,1,"may",49090.8503172356,5
"Connecticut",1,1,"november",46192.24407999,11
"Connecticut",1,1,"october",46392.8053355317,10
"Connecticut",1,1,"september",48927.7493657587,9
"Connecticut",1,NA,"april",19857.2347448167,4
"Connecticut",1,NA,"august",22203.7955753511,8
"Connecticut",1,NA,"december",10049.05839943,12
"Connecticut",1,NA,"february",17314.7140565833,2
"Connecticut",1,NA,"january",16608.7690734389,1
"Connecticut",1,NA,"july",19511.1283182289,7
"Connecticut",1,NA,"june",19574.6864509933,6
"Connecticut",1,NA,"march",18442.1789695722,3
"Connecticut",1,NA,"may",19624.8198507056,5
"Connecticut",1,NA,"november",22087.3395642367,11
"Connecticut",1,NA,"october",21010.1538486917,10
"Connecticut",1,NA,"september",20945.6933878562,9
"Delaware",0,0,"april",4780.56887115289,4
"Delaware",0,0,"august",5553.23421989511,8
"Delaware",0,0,"december",4909.44478418,12
"Delaware",0,0,"february",3407.16729954511,2
"Delaware",0,0,"january",3308.390457424,1
"Delaware",0,0,"july",5382.98981758289,7
"Delaware",0,0,"june",4865.95914712178,6
"Delaware",0,0,"march",4380.38165204956,3
"Delaware",0,0,"may",4703.62152349622,5
"Delaware",0,0,"november",3495.77044918,11
"Delaware",0,0,"october",4375.68233922667,10
"Delaware",0,0,"september",5680.96207896075,9
"Delaware",0,1,"april",7215.92298766533,4
"Delaware",0,1,"august",8357.72443611978,8
"Delaware",0,1,"december",4648.895849315,12
"Delaware",0,1,"february",7056.87518180422,2
"Delaware",0,1,"january",6326.01564482311,1
"Delaware",0,1,"july",8049.04943323756,7
"Delaware",0,1,"june",8123.628133092,6
"Delaware",0,1,"march",6971.723656602,3
"Delaware",0,1,"may",7610.09562189089,5
"Delaware",0,1,"november",8888.73238159,11
"Delaware",0,1,"october",7218.719728345,10
"Delaware",0,1,"september",8185.123975095,9
"Delaware",0,NA,"april",1982.95061266444,4
"Delaware",0,NA,"august",2229.75271817778,8
"Delaware",0,NA,"december",1600.65416775,12
"Delaware",0,NA,"february",1757.54840971667,2
"Delaware",0,NA,"january",1600.26025651111,1
"Delaware",0,NA,"july",2733.83743898444,7
"Delaware",0,NA,"june",2297.65064901444,6
"Delaware",0,NA,"march",1757.54840971667,3
"Delaware",0,NA,"may",2340.70837713444,5
"Delaware",0,NA,"november",3506.29792822333,11
"Delaware",0,NA,"october",2550.20863325167,10
"Delaware",0,NA,"september",2264.16442707,9
"Delaware",1,0,"april",5437.19767181722,4
"Delaware",1,0,"august",7770.08076448167,8
"Delaware",1,0,"december",2331.489951275,12
"Delaware",1,0,"february",3265.22992804444,2
"Delaware",1,0,"january",2898.79511649,1
"Delaware",1,0,"july",5746.94188954889,7
"Delaware",1,0,"june",6982.39017701589,6
"Delaware",1,0,"march",3946.41453416722,3
"Delaware",1,0,"may",5905.152712777,5
"Delaware",1,0,"november",9034.93150198667,11
"Delaware",1,0,"october",7653.02244242917,10
"Delaware",1,0,"september",8217.50342034687,9
"Delaware",1,1,"april",17812.5462699238,4
"Delaware",1,1,"august",18547.5628919964,8
"Delaware",1,1,"december",11167.24389222,12
"Delaware",1,1,"february",14284.9181079104,2
"Delaware",1,1,"january",14265.3971289316,1
"Delaware",1,1,"july",18223.9832168509,7
"Delaware",1,1,"june",18845.5790786998,6
"Delaware",1,1,"march",17192.3535039849,3
"Delaware",1,1,"may",18796.1495119198,5
"Delaware",1,1,"november",23400.24055075,11
"Delaware",1,1,"october",21877.605677884,10
"Delaware",1,1,"september",20297.2626678305,9
"Delaware",1,NA,"april",5973.32728722111,4
"Delaware",1,NA,"august",7481.8767655,8
"Delaware",1,NA,"december",2602.77658306,12
"Delaware",1,NA,"february",5432.04193907778,2
"Delaware",1,NA,"january",5934.31348246222,1
"Delaware",1,NA,"july",7224.02595446333,7
"Delaware",1,NA,"june",6708.56809221111,6
"Delaware",1,NA,"march",6471.02153511333,3
"Delaware",1,NA,"may",6139.13806876333,5
"Delaware",1,NA,"november",4679.34868572,11
"Delaware",1,NA,"october",6111.07131536833,10
"Delaware",1,NA,"september",7294.313009285,9
"District of Columbia",0,0,"april",3114.59896010011,4
"District of Columbia",0,0,"august",4674.277028588,8
"District of Columbia",0,0,"december",1326.744109035,12
"District of Columbia",0,0,"february",2515.54263226689,2
"District of Columbia",0,0,"january",2642.57901142689,1
"District of Columbia",0,0,"july",4338.30828412233,7
"District of Columbia",0,0,"june",4065.28791407233,6
"District of Columbia",0,0,"march",2860.245014616,3
"District of Columbia",0,0,"may",3633.92320287478,5
"District of Columbia",0,0,"november",3426.13282165333,11
"District of Columbia",0,0,"october",3662.19773563517,10
"District of Columbia",0,0,"september",4640.51558066987,9
"District of Columbia",0,1,"april",8969.32296149556,4
"District of Columbia",0,1,"august",9851.22807750956,8
"District of Columbia",0,1,"december",7184.29395508,12
"District of Columbia",0,1,"february",7518.97015401556,2
"District of Columbia",0,1,"january",6935.52586966444,1
"District of Columbia",0,1,"july",9578.85783654622,7
"District of Columbia",0,1,"june",9093.66062359956,6
"District of Columbia",0,1,"march",7500.1640938,3
"District of Columbia",0,1,"may",9107.92026353456,5
"District of Columbia",0,1,"november",12450.17538916,11
"District of Columbia",0,1,"october",10368.0473927233,10
"District of Columbia",0,1,"september",9906.42555152912,9
"District of Columbia",0,NA,"april",2992.31280676511,4
"District of Columbia",0,NA,"august",3483.10539544644,8
"District of Columbia",0,NA,"december",4425.75975536,12
"District of Columbia",0,NA,"february",2199.27522474,2
