"state","t","pebt","est_beneficiaries","application"
"Louisiana",11,"0",732204,"all"
"Maine",11,"0",84000,"all_but_snap"
"Maryland",11,"0",430954,"none"
"Maryland",11,"1",430954,"none"
"Massachusetts",11,"0",522000,"none"
"Michigan",11,"0",829722,"none"
"Minnesota",11,"0",349952,"all_but_snap"
"Mississippi",11,"0",345827,"none"
"Missouri",11,"0",454690,"all_but_snap"
"Montana",11,"0",48385,"none"
"Nebraska",11,"0",156257,"all_but_snap"
"Nevada",11,"0",334000,"none"
"New Hampshire",11,"0",45190,"all_but_snap"
"New Jersey",11,"0",594207,"none"
"New Jersey",11,"1",594207,"none"
"New Mexico",11,"0",245000,"none"
"New York",11,"0",2077711,"none"
"North Carolina",11,"0",903320,"none"
"North Dakota",11,"0",39760,"all_but_snap"
"Ohio",11,"0",850000,"none"
"Oklahoma",11,"0",312021,"none"
"Oregon",11,"2",351000,"none"
"Oregon",11,"0",351000,"none"
"Oregon",11,"1",351000,"none"
"Pennsylvania",11,"0",991843,"none"
"Rhode Island",11,"0",74622,"none"
"Rhode Island",11,"1",74622,"none"
"South Carolina",11,"0",467000,"none"
"South Dakota",11,"0",62000,"all_but_snap"
"Tennessee",11,"0",615610,"all_but_snap"
"Texas",11,"0",3641635,"all_but_snap"
"Utah",11,"0",75000,"all_but_snap"
"Vermont",11,"0",39000,"none"
"Virginia",11,"0",594494,"none"
"Washington",11,"0",560267,"all_but_snap"
"West Virginia",11,"0",204542,"none"
"Wisconsin",11,"0",438000,"all_but_snap"
"Wyoming",11,"0",36271,"all"
"Alabama",12,"0",461000,"none"
"Alaska",12,"0",73000,"all_but_snap"
"Arizona",12,"0",703000,"none"
"Arkansas",12,"0",303120,"none"
"California",12,"0",3927173,"all_but_snap"
"Colorado",12,"0",356099,"all_but_snap"
"Connecticut",12,"0",289407,"none"
"Delaware",12,"0",61602,"none"
"Delaware",12,"1",61602,"none"
"District of Columbia",12,"0",86415,"none"
"Florida",12,"0",2065374,"none"
"Georgia",12,"0",1100000,"all_but_snap"
"Hawaii",12,"0",93297,"none"
"Idaho",12,"0",130000,"none"
"Illinois",12,"0",1099786,"all_but_snap"
"Indiana",12,"0",588127,"none"
"Iowa",12,"0",249404,"none"
"Kansas",12,"0",169795,"all_but_snap"
"Kentucky",12,"0",601551,"all_but_snap"
"Louisiana",12,"0",732204,"all"
"Maine",12,"0",84000,"all_but_snap"
"Maryland",12,"0",430954,"none"
"Massachusetts",12,"0",522000,"none"
"Massachusetts",12,"1",522000,"none"
"Michigan",12,"0",829722,"none"
"Minnesota",12,"0",349952,"all_but_snap"
"Mississippi",12,"0",345827,"none"
"Missouri",12,"0",454690,"all_but_snap"
"Montana",12,"0",48385,"none"
"Nebraska",12,"0",156257,"all_but_snap"
"Nevada",12,"0",334000,"none"
"New Hampshire",12,"0",45190,"all_but_snap"
"New Jersey",12,"0",594207,"none"
"New Mexico",12,"0",245000,"none"
